ts_code,symbol,name,area,industry,list_date,filter_time
000004.SZ,000004,国华网安,深圳,软件服务,19910114,2025-01-09 19:14:53
000006.SZ,000006,深振业A,深圳,区域地产,19920427,2025-01-09 19:14:53
000007.SZ,000007,全新好,深圳,其他商业,19920413,2025-01-09 19:14:53
000017.SZ,000017,深中华A,深圳,服饰,19920331,2025-01-09 19:14:53
000021.SZ,000021,深科技,深圳,元器件,19940202,2025-01-09 19:14:53
000025.SZ,000025,特力A,深圳,综合类,19930621,2025-01-09 19:14:53
000029.SZ,000029,深深房A,深圳,区域地产,19930915,2025-01-09 19:14:53
000036.SZ,000036,华联控股,深圳,全国地产,19940617,2025-01-09 19:14:53
000042.SZ,000042,中洲控股,深圳,全国地产,19940921,2025-01-09 19:14:53
000045.SZ,000045,深纺织A,深圳,元器件,19940815,2025-01-09 19:14:53
000058.SZ,000058,深赛格,深圳,商品城,19961226,2025-01-09 19:14:53
000068.SZ,000068,华控赛格,深圳,环境保护,19970611,2025-01-09 19:14:53
000100.SZ,000100,TCL科技,广东,元器件,20040130,2025-01-09 19:14:53
000151.SZ,000151,中成股份,北京,商贸代理,20000906,2025-01-09 19:14:53
000153.SZ,000153,丰原药业,安徽,化学制药,20000920,2025-01-09 19:14:53
000155.SZ,000155,川能动力,四川,新型电力,20000926,2025-01-09 19:14:53
000158.SZ,000158,常山北明,河北,软件服务,20000724,2025-01-09 19:14:53
000159.SZ,000159,国际实业,新疆,石油贸易,20000926,2025-01-09 19:14:53
000301.SZ,000301,东方盛虹,江苏,化纤,20000529,2025-01-09 19:14:53
000402.SZ,000402,金融街,北京,全国地产,19960626,2025-01-09 19:14:53
000409.SZ,000409,云鼎科技,山东,软件服务,19960627,2025-01-09 19:14:53
000410.SZ,000410,沈阳机床,辽宁,机床制造,19960718,2025-01-09 19:14:53
000415.SZ,000415,渤海租赁,新疆,多元金融,19960716,2025-01-09 19:14:53
000417.SZ,000417,合百集团,安徽,百货,19960812,2025-01-09 19:14:53
000420.SZ,000420,吉林化纤,吉林,化纤,19960802,2025-01-09 19:14:53
000428.SZ,000428,华天酒店,湖南,酒店餐饮,19960808,2025-01-09 19:14:53
000501.SZ,000501,武商集团,湖北,百货,19921120,2025-01-09 19:14:53
000503.SZ,000503,国新健康,山东,软件服务,19921130,2025-01-09 19:14:53
000504.SZ,000504,南华生物,湖南,医疗保健,19921208,2025-01-09 19:14:53
000505.SZ,000505,京粮控股,海南,食品,19921221,2025-01-09 19:14:53
000509.SZ,000509,华塑控股,四川,元器件,19930507,2025-01-09 19:14:53
000510.SZ,000510,新金路,四川,化工原料,19930507,2025-01-09 19:14:53
000514.SZ,000514,渝开发,重庆,区域地产,19930712,2025-01-09 19:14:53
000516.SZ,000516,国际医学,陕西,医疗保健,19930809,2025-01-09 19:14:53
000519.SZ,000519,中兵红箭,湖南,专用机械,19931008,2025-01-09 19:14:53
000520.SZ,000520,凤凰航运,湖北,水运,19931025,2025-01-09 19:14:53
000530.SZ,000530,冰山冷热,辽宁,机械基件,19931208,2025-01-09 19:14:53
000534.SZ,000534,万泽股份,广东,生物制药,19940110,2025-01-09 19:14:53
000536.SZ,000536,华映科技,福建,元器件,19931126,2025-01-09 19:14:53
000546.SZ,000546,金圆股份,吉林,环境保护,19931215,2025-01-09 19:14:53
000548.SZ,000548,湖南投资,湖南,路桥,19931220,2025-01-09 19:14:53
000551.SZ,000551,创元科技,江苏,专用机械,19940106,2025-01-09 19:14:53
000553.SZ,000553,安道麦A,湖北,农药化肥,19931203,2025-01-09 19:14:53
000555.SZ,000555,神州信息,深圳,软件服务,19940408,2025-01-09 19:14:53
000557.SZ,000557,西部创业,宁夏,铁路,19940617,2025-01-09 19:14:53
000558.SZ,000558,莱茵体育,四川,旅游景点,19940509,2025-01-09 19:14:53
000559.SZ,000559,万向钱潮,浙江,汽车配件,19940110,2025-01-09 19:14:53
000561.SZ,000561,烽火电子,陕西,通信设备,19940509,2025-01-09 19:14:53
000563.SZ,000563,陕国投A,陕西,多元金融,19940110,2025-01-09 19:14:53
000564.SZ,000564,供销大集,陕西,百货,19940110,2025-01-09 19:14:53
000565.SZ,000565,渝三峡A,重庆,染料涂料,19940408,2025-01-09 19:14:53
000566.SZ,000566,海南海药,海南,化学制药,19940525,2025-01-09 19:14:53
000567.SZ,000567,海德股份,海南,多元金融,19940525,2025-01-09 19:14:53
000571.SZ,000571,新大洲A,海南,煤炭开采,19940525,2025-01-09 19:14:53
000572.SZ,000572,海马汽车,海南,汽车整车,19940808,2025-01-09 19:14:53
000576.SZ,000576,甘化科工,广东,电气设备,19940907,2025-01-09 19:14:53
000586.SZ,000586,汇源通信,四川,通信设备,19951220,2025-01-09 19:14:53
000590.SZ,000590,启迪药业,湖南,中成药,19960119,2025-01-09 19:14:53
000595.SZ,000595,宝塔实业,宁夏,机械基件,19960419,2025-01-09 19:14:53
000599.SZ,000599,青岛双星,山东,汽车配件,19960430,2025-01-09 19:14:53
000600.SZ,000600,建投能源,河北,火力发电,19960606,2025-01-09 19:14:53
000603.SZ,000603,盛达资源,北京,铅锌,19960823,2025-01-09 19:14:53
000605.SZ,000605,渤海股份,北京,水务,19960913,2025-01-09 19:14:53
000610.SZ,000610,西安旅游,陕西,旅游服务,19960926,2025-01-09 19:14:53
000617.SZ,000617,中油资本,新疆,多元金融,19961022,2025-01-09 19:14:53
000619.SZ,000619,海螺新材,安徽,其他建材,19961023,2025-01-09 19:14:53
000625.SZ,000625,长安汽车,重庆,汽车整车,19970610,2025-01-09 19:14:53
000626.SZ,000626,远大控股,江苏,商贸代理,19961128,2025-01-09 19:14:53
000627.SZ,000627,天茂集团,湖北,保险,19961112,2025-01-09 19:14:53
000635.SZ,000635,英力特,宁夏,化工原料,19961120,2025-01-09 19:14:53
000637.SZ,000637,茂化实华,广东,石油加工,19961114,2025-01-09 19:14:53
000638.SZ,000638,万方发展,吉林,农业综合,19961126,2025-01-09 19:14:53
000639.SZ,000639,西王食品,山东,食品,19961126,2025-01-09 19:14:53
000652.SZ,000652,泰达股份,天津,批发业,19961128,2025-01-09 19:14:53
000655.SZ,000655,金岭矿业,山东,普钢,19961128,2025-01-09 19:14:53
000663.SZ,000663,永安林业,福建,林业,19961206,2025-01-09 19:14:53
000665.SZ,000665,湖北广电,湖北,影视音像,19961210,2025-01-09 19:14:53
000670.SZ,000670,盈方微,湖北,元器件,19961217,2025-01-09 19:14:53
000672.SZ,000672,上峰水泥,甘肃,水泥,19961218,2025-01-09 19:14:53
000676.SZ,000676,智度股份,广东,互联网,19961224,2025-01-09 19:14:53
000677.SZ,000677,恒天海龙,山东,化纤,19961226,2025-01-09 19:14:53
000678.SZ,000678,襄阳轴承,湖北,汽车配件,19970106,2025-01-09 19:14:53
000679.SZ,000679,大连友谊,辽宁,百货,19970124,2025-01-09 19:14:53
000688.SZ,000688,国城矿业,四川,铅锌,19970120,2025-01-09 19:14:53
000692.SZ,000692,惠天热电,辽宁,供气供热,19970227,2025-01-09 19:14:53
000695.SZ,000695,滨海能源,天津,广告包装,19970218,2025-01-09 19:14:53
000698.SZ,000698,沈阳化工,辽宁,石油加工,19970220,2025-01-09 19:14:53
000700.SZ,000700,模塑科技,江苏,汽车配件,19970228,2025-01-09 19:14:53
000701.SZ,000701,厦门信达,福建,商贸代理,19970226,2025-01-09 19:14:53
000710.SZ,000710,贝瑞基因,四川,医疗保健,19970422,2025-01-09 19:14:53
000712.SZ,000712,锦龙股份,广东,证券,19970415,2025-01-09 19:14:53
000713.SZ,000713,丰乐种业,安徽,种植业,19970422,2025-01-09 19:14:53
000715.SZ,000715,中兴商业,辽宁,百货,19970508,2025-01-09 19:14:53
000716.SZ,000716,黑芝麻,广西,食品,19970418,2025-01-09 19:14:53
000719.SZ,000719,中原传媒,河南,出版业,19970331,2025-01-09 19:14:53
000720.SZ,000720,新能泰山,山东,电气设备,19970509,2025-01-09 19:14:53
000721.SZ,000721,西安饮食,陕西,酒店餐饮,19970430,2025-01-09 19:14:53
000723.SZ,000723,美锦能源,山西,焦炭加工,19970515,2025-01-09 19:14:53
000735.SZ,000735,罗牛山,海南,农业综合,19970611,2025-01-09 19:14:53
000736.SZ,000736,中交地产,重庆,全国地产,19970425,2025-01-09 19:14:53
000737.SZ,000737,北方铜业,山西,铜,19970428,2025-01-09 19:14:53
000753.SZ,000753,漳州发展,福建,综合类,19970626,2025-01-09 19:14:53
000755.SZ,000755,山西高速,山西,路桥,19970627,2025-01-09 19:14:53
000757.SZ,000757,浩物股份,四川,汽车服务,19970627,2025-01-09 19:14:53
